Index, rightLegAngleSignal, leftLegAngleSignal, yPositionOfNoseSignal, xPositionOfRHipSignal, yPositionOfRHipSignal, xPositionOfLHipSignal, yPositionOfLHipSignal, pgram
0, 64.4400348281762,81.86989764584403,84.0,148.0,220.0,228.0,316.0,28.472387
1, 89.21517539700811,75.96375653207353,84.0,228.0,316.0,228.0,316.0,0.117152564
2, 25.253163394573882,nan,nan,236.0,236.0,156.0,84.0,0.033466138
3, 69.14554196042165,75.96375653207353,84.0,188.0,212.0,132.0,212.0,0.086442724
4, nan,nan,nan,188.0,172.0,nan,nan,0.0029647336
5, 19.653824058053306,18.43494882292201,nan,236.0,236.0,156.0,84.0,0.115837105
6, 83.6598082540901,nan,nan,220.0,316.0,140.0,92.0,0.07177532
7, 18.43494882292201,18.43494882292201,nan,236.0,244.0,156.0,84.0,0.06974774
8, 49.398705354995535,nan,nan,220.0,316.0,156.0,84.0,0.09703048
9, nan,nan,nan,220.0,324.0,132.0,92.0,0.072285354
10, 55.98065001017354,75.96375653207353,84.0,148.0,220.0,220.0,316.0,0.0059830253
11, 89.21517539700811,63.43494882292201,92.0,124.0,212.0,164.0,92.0,0.007401322
12, 3.964654722856123,nan,nan,164.0,84.0,nan,nan,0.009085728
13, nan,nan,nan,228.0,244.0,220.0,316.0,0.008296362
14, nan,nan,nan,156.0,84.0,180.0,172.0,0.025820877
15, 0.0,nan,nan,228.0,244.0,236.0,236.0,0.035453063
16, nan,nan,nan,220.0,324.0,nan,nan,0.036526132
17, 90.0,nan,nan,124.0,220.0,132.0,100.0,0.023703432
18, 19.653824058053306,nan,nan,220.0,324.0,156.0,92.0,0.023817077
19, 85.36453657309735,71.56505117707799,100.0,124.0,212.0,164.0,100.0,0.027660886
20, 81.86989764584403,nan,nan,220.0,324.0,132.0,100.0,0.008434102
21, 50.9468630539735,nan,nan,220.0,324.0,156.0,92.0,0.0116582075
22, 67.61986494804043,nan,nan,220.0,324.0,156.0,92.0,0.03190212
23, 39.28940686250036,nan,nan,220.0,324.0,156.0,92.0,0.04249821
24, 25.559965171823812,nan,nan,220.0,324.0,156.0,92.0,0.020517988
25, 81.86989764584403,nan,nan,220.0,324.0,132.0,100.0,0.007962692
26, nan,84.8055710922652,180.0,220.0,316.0,132.0,100.0,0.078958526
27, nan,nan,nan,156.0,92.0,180.0,180.0,0.0006816848
28, 26.565051177077994,nan,nan,156.0,92.0,180.0,180.0,0.044042587
29, nan,84.8055710922652,180.0,220.0,324.0,132.0,100.0,0.0023294033
30, nan,84.8055710922652,180.0,220.0,324.0,132.0,100.0,0.0039928844
31, 26.565051177077994,nan,nan,156.0,92.0,180.0,180.0,0.0115996525
32, 83.6598082540901,nan,180.0,220.0,316.0,132.0,100.0,0.003138304
33, 63.43494882292201,76.7594800848128,nan,164.0,100.0,164.0,92.0,0.0829815
34, 25.253163394573882,nan,nan,228.0,244.0,156.0,92.0,0.0030203573
35, nan,nan,nan,156.0,92.0,180.0,180.0,0.020195255
36, 86.58341180822866,75.96375653207353,92.0,220.0,324.0,220.0,316.0,0.0117486585
37, nan,nan,nan,156.0,92.0,180.0,180.0,0.016018422
38, nan,nan,nan,156.0,92.0,180.0,180.0,0.028318498
39, 86.58341180822866,75.96375653207353,92.0,220.0,324.0,220.0,316.0,0.019333683
40, nan,nan,nan,156.0,92.0,180.0,180.0,0.005674282
41, 78.60786416844728,90.0,92.0,220.0,324.0,220.0,316.0,0.030753411
42, nan,nan,nan,220.0,316.0,132.0,100.0,0.0073138126
43, 90.0,nan,nan,212.0,316.0,132.0,100.0,0.028420813
44, nan,nan,nan,156.0,92.0,180.0,172.0,0.03386171
45, 63.43494882292202,nan,nan,220.0,316.0,156.0,92.0,0.026274262
46, 90.0,nan,nan,220.0,324.0,132.0,100.0,0.05972406
47, 32.47119229084849,18.43494882292201,nan,228.0,244.0,156.0,92.0,0.03334145
48, nan,nan,nan,220.0,324.0,140.0,100.0,0.008536667
49, 32.94921511659045,26.565051177077994,nan,228.0,244.0,164.0,92.0,0.0102363955
50, 58.240519915187214,nan,nan,164.0,92.0,188.0,172.0,0.011250622
51, 39.28940686250036,45.0,nan,228.0,244.0,172.0,100.0,0.008119754
52, 83.6598082540901,nan,nan,196.0,172.0,nan,nan,0.013579369
53, 83.6598082540901,nan,nan,172.0,100.0,nan,nan,0.0004959043
54, 6.818214571651869,nan,nan,220.0,244.0,nan,nan,0.0012203894
55, nan,nan,nan,220.0,324.0,nan,nan,0.02063907
56, 0.0,nan,nan,196.0,108.0,204.0,196.0,0.048916724
57, 83.6598082540901,nan,nan,196.0,108.0,nan,nan,0.027972007
58, 39.28940686250036,nan,nan,212.0,324.0,nan,nan,0.02264318
59, 30.96375653207352,nan,nan,212.0,324.0,204.0,124.0,0.010597723
60, 85.60129464500447,71.56505117707799,132.0,212.0,324.0,212.0,316.0,0.006586119
61, 66.03751102542182,nan,132.0,212.0,324.0,212.0,316.0,0.0068749054
62, 25.66519146217359,nan,nan,220.0,252.0,260.0,156.0,2.6695638e-05
63, 25.66519146217359,nan,nan,220.0,252.0,260.0,156.0,0.016054202
64, 41.82016988013577,nan,nan,212.0,324.0,260.0,148.0,0.085175924
65, 54.46232220802562,nan,nan,172.0,228.0,244.0,148.0,0.023617588
66, 39.5596679689945,nan,nan,204.0,324.0,252.0,148.0,0.027782131
67, nan,nan,nan,180.0,228.0,252.0,132.0,0.0034787876
68, nan,nan,nan,180.0,228.0,244.0,140.0,0.01688053
69, nan,nan,nan,180.0,228.0,252.0,124.0,0.025589025
70, 50.71059313749964,nan,nan,180.0,220.0,268.0,132.0,0.0010905707
71, nan,nan,nan,204.0,332.0,252.0,108.0,0.0028493998
72, nan,nan,nan,196.0,332.0,252.0,100.0,0.071253926
