Index, rightLegAngleSignal, leftLegAngleSignal, yPositionOfNoseSignal, xPositionOfRHipSignal, yPositionOfRHipSignal, xPositionOfLHipSignal, yPositionOfLHipSignal
0,45.0,nan,nan,172.0,84.0,188.0,164.0
1,nan,nan,nan,172.0,84.0,nan,nan
2,90.0,nan,nan,212.0,300.0,156.0,84.0
3,71.56505117707799,nan,nan,180.0,84.0,180.0,76.0
4,nan,nan,nan,204.0,300.0,nan,nan
5,45.0,nan,nan,172.0,84.0,188.0,164.0
6,51.34019174590991,nan,nan,212.0,300.0,148.0,84.0
7,75.96375653207353,nan,nan,180.0,204.0,nan,nan
8,71.56505117707799,nan,nan,188.0,204.0,nan,nan
9,nan,nan,nan,172.0,84.0,188.0,172.0
10,24.341089936692512,45.0,nan,228.0,228.0,172.0,84.0
11,nan,nan,nan,172.0,84.0,196.0,172.0
12,nan,nan,nan,188.0,172.0,nan,nan
13,nan,nan,nan,156.0,84.0,212.0,300.0
14,nan,nan,nan,156.0,84.0,196.0,156.0
15,nan,nan,nan,156.0,92.0,196.0,156.0
16,90.0,nan,nan,156.0,84.0,196.0,164.0
17,nan,nan,nan,156.0,92.0,196.0,164.0
18,73.90918365114783,nan,nan,188.0,212.0,188.0,84.0
19,nan,nan,nan,228.0,228.0,nan,nan
20,20.965711840557418,nan,nan,228.0,228.0,nan,nan
21,1.2188752351312977,nan,nan,228.0,228.0,nan,nan
22,16.645038214675942,nan,nan,228.0,236.0,nan,nan
23,nan,nan,nan,164.0,92.0,204.0,164.0
24,nan,nan,nan,164.0,92.0,220.0,308.0
25,77.47119229084849,nan,nan,164.0,92.0,nan,nan
26,nan,nan,nan,228.0,236.0,nan,nan
27,90.0,nan,nan,164.0,92.0,204.0,164.0
28,nan,nan,nan,nan,nan,nan,nan
29,nan,nan,nan,212.0,108.0,nan,nan
30,nan,nan,nan,nan,nan,nan,nan
31,nan,nan,nan,nan,nan,nan,nan
32,nan,nan,nan,228.0,116.0,nan,nan
33,33.690067525979785,nan,nan,228.0,228.0,244.0,116.0
34,67.45693899994212,26.565051177077994,132.0,220.0,308.0,212.0,308.0
35,62.65012421993012,45.0,nan,196.0,220.0,252.0,132.0
36,30.96375653207353,nan,nan,212.0,316.0,268.0,140.0
37,63.43494882292201,nan,nan,180.0,220.0,244.0,140.0
38,nan,nan,nan,172.0,220.0,244.0,140.0
39,71.56505117707799,nan,140.0,204.0,316.0,204.0,316.0
40,41.82016988013577,nan,nan,204.0,316.0,260.0,140.0
41,nan,nan,nan,172.0,220.0,244.0,132.0
42,19.47657549893199,53.13010235415598,132.0,212.0,244.0,212.0,228.0
43,nan,nan,nan,196.0,316.0,nan,nan
44,nan,nan,nan,244.0,116.0,nan,nan
45,nan,nan,nan,nan,nan,nan,nan
46,nan,nan,nan,196.0,316.0,244.0,100.0
47,5.9061411137705,nan,nan,212.0,244.0,204.0,244.0
48,nan,nan,nan,180.0,212.0,244.0,76.0
49,53.84181456019167,nan,nan,204.0,228.0,260.0,76.0
50,nan,nan,nan,nan,nan,nan,nan
51,nan,nan,nan,nan,nan,nan,nan
52,nan,nan,nan,nan,nan,nan,nan
53,nan,nan,nan,228.0,44.0,nan,nan
54,nan,nan,nan,nan,nan,nan,nan
55,nan,nan,nan,nan,nan,nan,nan
56,36.49129668372969,0.0,nan,180.0,172.0,244.0,36.0
57,36.49129668372969,0.0,nan,180.0,172.0,244.0,36.0
58,39.0938588862295,nan,nan,180.0,180.0,236.0,44.0
59,nan,nan,nan,220.0,44.0,nan,nan
60,45.0,nan,nan,244.0,52.0,244.0,44.0
61,nan,nan,nan,188.0,316.0,nan,nan
62,nan,nan,nan,nan,nan,nan,nan
63,nan,nan,nan,nan,nan,nan,nan
64,66.80140948635182,nan,nan,228.0,76.0,nan,nan
65,nan,nan,nan,228.0,76.0,nan,nan
66,nan,nan,nan,nan,nan,nan,nan
67,nan,nan,nan,212.0,260.0,nan,nan
68,45.0,nan,nan,212.0,252.0,244.0,100.0
69,51.34019174590991,nan,nan,188.0,228.0,nan,nan
70,7.125016348901798,48.731396999160445,132.0,212.0,244.0,212.0,236.0
71,85.60129464500447,26.565051177077994,132.0,196.0,324.0,196.0,324.0
72,77.34744349944204,nan,132.0,196.0,324.0,196.0,324.0
73,88.99491399474583,nan,nan,172.0,228.0,244.0,140.0
74,60.94539590092286,nan,140.0,196.0,324.0,196.0,324.0
75,84.8055710922652,0.0,nan,156.0,236.0,244.0,148.0
76,63.43494882292202,nan,148.0,204.0,324.0,196.0,324.0
77,72.89727103094764,nan,148.0,204.0,324.0,196.0,324.0
78,72.89727103094764,nan,148.0,204.0,324.0,196.0,324.0
79,59.03624346792648,nan,nan,236.0,148.0,236.0,204.0
80,41.6335393365702,nan,nan,204.0,324.0,236.0,148.0
81,41.6335393365702,nan,nan,204.0,324.0,236.0,148.0
82,63.43494882292202,45.0,nan,204.0,324.0,244.0,156.0
83,60.25511870305777,26.565051177077994,156.0,204.0,324.0,244.0,156.0
84,53.32565033042684,nan,nan,212.0,244.0,220.0,156.0
85,62.487997376148556,nan,nan,212.0,244.0,244.0,156.0
86,41.82016988013577,nan,nan,204.0,324.0,252.0,156.0
87,nan,nan,nan,172.0,236.0,nan,nan
88,18.43494882292201,nan,nan,172.0,236.0,244.0,164.0
89,nan,nan,nan,180.0,236.0,244.0,172.0
90,nan,nan,nan,180.0,236.0,244.0,172.0
91,nan,nan,nan,180.0,236.0,244.0,172.0
92,54.46232220802562,45.0,nan,196.0,324.0,260.0,172.0
93,40.60129464500447,nan,nan,244.0,236.0,196.0,324.0
94,32.47119229084849,nan,164.0,204.0,236.0,180.0,236.0
95,26.56505117707799,nan,172.0,212.0,260.0,260.0,172.0
96,53.13010235415598,71.56505117707799,nan,196.0,332.0,260.0,164.0
97,33.47627829610267,nan,164.0,204.0,260.0,252.0,164.0
98,41.82016988013577,45.0,nan,188.0,324.0,260.0,148.0
99,33.69006752597979,45.0,nan,188.0,324.0,260.0,148.0
100,56.309932474020215,nan,nan,172.0,228.0,236.0,148.0
101,52.1250163489018,nan,nan,164.0,228.0,252.0,148.0
102,45.78482460299189,nan,nan,164.0,220.0,244.0,140.0
103,60.01836063115067,nan,nan,180.0,324.0,180.0,324.0
104,54.92624550665171,nan,nan,180.0,324.0,180.0,324.0
105,28.926425835253614,nan,nan,172.0,220.0,nan,nan
106,nan,nan,nan,180.0,324.0,228.0,100.0
107,nan,nan,nan,nan,nan,nan,nan
108,nan,nan,nan,180.0,324.0,nan,nan
109,nan,nan,nan,nan,nan,nan,nan
110,nan,nan,nan,172.0,324.0,nan,nan
111,nan,nan,nan,236.0,76.0,244.0,68.0
112,nan,nan,nan,236.0,76.0,180.0,324.0
113,30.96375653207352,66.80140948635182,68.0,180.0,324.0,180.0,332.0
114,0.0,nan,nan,236.0,68.0,180.0,332.0
115,nan,nan,nan,228.0,76.0,180.0,324.0
116,nan,nan,nan,180.0,332.0,212.0,68.0
117,46.005086005254185,nan,100.0,188.0,260.0,228.0,68.0
118,40.60129464500447,nan,nan,164.0,196.0,228.0,76.0
119,37.74680538727467,nan,nan,164.0,188.0,228.0,76.0
120,52.25319461272534,26.565051177077994,nan,164.0,196.0,236.0,76.0
121,44.518534194161646,nan,nan,172.0,196.0,236.0,84.0
122,55.203973721731685,0.0,nan,164.0,204.0,244.0,84.0
123,50.30092651652569,0.0,nan,172.0,212.0,244.0,84.0
124,60.36161631184866,45.0,nan,164.0,220.0,244.0,92.0
125,nan,nan,nan,nan,nan,nan,nan
126,69.44395478041653,nan,nan,244.0,108.0,nan,nan
127,nan,nan,nan,180.0,332.0,nan,nan
128,nan,nan,nan,nan,nan,nan,nan
129,nan,nan,nan,188.0,324.0,236.0,124.0
130,59.03624346792648,nan,nan,172.0,236.0,252.0,148.0
131,64.6538240580533,90.0,nan,204.0,260.0,252.0,140.0
132,-0.0,45.0,nan,236.0,212.0,236.0,148.0
133,nan,nan,nan,180.0,236.0,244.0,148.0
134,nan,nan,nan,188.0,324.0,nan,nan
135,68.83874018317172,0.0,nan,180.0,236.0,260.0,172.0
136,45.0,nan,nan,172.0,236.0,236.0,164.0
137,75.73548770192009,45.0,nan,172.0,236.0,260.0,180.0
138,nan,nan,nan,172.0,236.0,236.0,172.0
139,38.884496433714595,nan,nan,188.0,332.0,260.0,180.0
140,nan,nan,nan,180.0,244.0,244.0,180.0
141,40.60129464500447,71.56505117707799,nan,196.0,332.0,260.0,188.0
142,nan,nan,nan,180.0,244.0,244.0,180.0
143,nan,nan,nan,212.0,252.0,180.0,244.0
144,nan,nan,nan,180.0,244.0,244.0,188.0
145,23.198590513648185,nan,204.0,212.0,292.0,260.0,204.0
146,26.565051177077994,nan,nan,212.0,284.0,260.0,204.0
147,29.054604099077146,nan,nan,212.0,276.0,260.0,196.0
148,nan,nan,nan,180.0,244.0,260.0,196.0
149,39.8055710922652,nan,nan,196.0,332.0,260.0,196.0
150,34.24903300681195,nan,204.0,212.0,276.0,260.0,204.0
151,31.759480084812793,26.565051177077994,nan,212.0,284.0,260.0,204.0
152,45.0,nan,nan,188.0,252.0,nan,nan
153,0.0,nan,nan,180.0,244.0,252.0,196.0
154,39.8055710922652,nan,nan,196.0,332.0,268.0,204.0
155,51.11550356628541,nan,nan,196.0,332.0,268.0,204.0
156,19.230672375661282,nan,212.0,220.0,292.0,268.0,212.0
157,42.510447078000844,84.8055710922652,nan,260.0,260.0,196.0,332.0
158,nan,57.52880770915152,204.0,276.0,220.0,268.0,260.0
159,45.0,45.0,204.0,212.0,260.0,180.0,244.0
160,nan,45.0,nan,212.0,260.0,180.0,244.0
161,49.57392125990087,90.0,nan,196.0,332.0,260.0,204.0
162,39.8055710922652,0.0,nan,196.0,332.0,260.0,196.0
163,39.8055710922652,71.56505117707799,nan,196.0,332.0,252.0,196.0
164,45.0,nan,nan,172.0,252.0,236.0,180.0
165,0.0,nan,nan,164.0,252.0,236.0,196.0
166,21.501434324047906,nan,196.0,212.0,268.0,236.0,196.0
167,88.1523897340054,nan,188.0,164.0,252.0,228.0,188.0
168,86.82016988013577,nan,nan,156.0,252.0,236.0,180.0
169,69.71744091108339,66.80140948635182,172.0,196.0,332.0,196.0,340.0
170,68.4985656759521,nan,164.0,196.0,332.0,196.0,340.0
171,86.82016988013577,0.0,nan,156.0,252.0,228.0,164.0
172,nan,nan,nan,nan,nan,nan,nan
173,66.80140948635182,nan,nan,156.0,252.0,196.0,156.0
174,40.60129464500447,nan,nan,204.0,332.0,212.0,156.0
175,75.96375653207353,nan,nan,148.0,252.0,188.0,148.0
176,53.13010235415598,nan,nan,204.0,332.0,204.0,148.0
177,nan,nan,nan,156.0,260.0,188.0,148.0
178,66.80140948635182,nan,nan,156.0,252.0,188.0,148.0
179,nan,nan,nan,148.0,260.0,180.0,148.0
180,42.82525588538995,nan,nan,204.0,332.0,180.0,148.0
181,66.80140948635182,nan,nan,148.0,260.0,172.0,148.0
182,30.96375653207352,nan,nan,148.0,260.0,172.0,148.0
183,62.487997376148556,nan,nan,196.0,332.0,196.0,148.0
184,63.00416160591338,nan,nan,196.0,332.0,196.0,148.0
185,53.13010235415598,nan,nan,148.0,260.0,nan,nan
186,nan,nan,nan,148.0,260.0,188.0,156.0
187,55.66978280449668,nan,nan,196.0,332.0,204.0,156.0
188,nan,nan,nan,156.0,252.0,196.0,164.0
189,nan,nan,nan,156.0,252.0,196.0,156.0
190,88.1523897340054,45.0,nan,164.0,252.0,228.0,172.0
191,69.71744091108339,nan,172.0,196.0,332.0,196.0,340.0
192,43.15238973400541,nan,nan,196.0,332.0,244.0,180.0
193,nan,nan,nan,172.0,252.0,236.0,180.0
194,nan,nan,nan,172.0,252.0,236.0,188.0
195,59.03624346792648,71.56505117707799,nan,196.0,332.0,252.0,204.0
196,56.309932474020215,71.56505117707799,nan,196.0,332.0,260.0,204.0
197,61.50436138175502,26.565051177077994,nan,196.0,332.0,260.0,204.0
198,63.43494882292201,53.13010235415598,nan,196.0,340.0,252.0,196.0
199,45.0,45.0,204.0,196.0,340.0,252.0,188.0
200,77.47119229084849,nan,nan,212.0,268.0,252.0,196.0
201,nan,nan,nan,196.0,340.0,260.0,188.0
202,nan,nan,nan,nan,nan,nan,nan
203,nan,nan,nan,nan,nan,nan,nan
204,82.8749836510982,90.0,180.0,204.0,276.0,268.0,172.0
205,nan,nan,nan,nan,nan,nan,nan
206,nan,nan,nan,nan,nan,nan,nan
207,47.489552921999156,nan,148.0,196.0,348.0,196.0,340.0
208,nan,nan,nan,196.0,332.0,252.0,132.0
209,52.76516601842533,nan,124.0,196.0,348.0,196.0,340.0
210,45.0,nan,nan,268.0,124.0,196.0,340.0
211,45.0,nan,nan,268.0,116.0,196.0,340.0
212,66.80140948635182,nan,nan,196.0,348.0,252.0,108.0
213,50.19442890773481,nan,nan,188.0,236.0,260.0,116.0
214,45.0,nan,nan,268.0,100.0,268.0,92.0
215,22.285587646832763,0.0,nan,188.0,212.0,268.0,92.0
216,22.285587646832763,45.0,92.0,188.0,212.0,260.0,92.0
217,14.250032697803594,45.0,92.0,196.0,212.0,260.0,92.0
218,13.465208094811706,45.0,92.0,196.0,204.0,260.0,92.0
219,19.65382405805331,45.0,92.0,188.0,204.0,260.0,92.0
220,19.65382405805331,nan,92.0,188.0,204.0,252.0,92.0
221,30.735487701920107,nan,92.0,188.0,196.0,252.0,92.0
222,30.735487701920107,nan,92.0,188.0,196.0,252.0,92.0
223,19.65382405805331,nan,92.0,188.0,204.0,252.0,92.0
224,19.65382405805331,nan,92.0,188.0,204.0,252.0,92.0
225,21.161259816828277,nan,92.0,188.0,212.0,252.0,92.0
226,19.65382405805331,nan,92.0,188.0,204.0,252.0,92.0
227,23.82426058289542,26.565051177077994,nan,180.0,196.0,260.0,92.0
228,27.681061568485262,nan,nan,180.0,212.0,260.0,100.0
229,71.56505117707799,nan,nan,260.0,100.0,196.0,340.0
230,nan,nan,nan,268.0,100.0,nan,nan
231,nan,nan,nan,260.0,108.0,nan,nan
232,nan,nan,nan,nan,nan,nan,nan
233,48.366460663429805,nan,nan,196.0,348.0,196.0,340.0
234,43.99491399474583,nan,nan,180.0,244.0,268.0,140.0
235,38.08877288097531,nan,nan,180.0,236.0,268.0,148.0
236,38.08877288097531,nan,148.0,180.0,236.0,260.0,148.0
237,75.96375653207353,0.0,164.0,196.0,348.0,252.0,156.0
238,47.72631099390627,nan,164.0,196.0,244.0,172.0,244.0
239,nan,nan,nan,244.0,172.0,260.0,156.0
240,50.9061411137705,79.50852298766841,188.0,188.0,236.0,172.0,244.0
241,74.74488129694222,90.0,188.0,180.0,244.0,244.0,172.0
242,79.50852298766841,nan,188.0,172.0,244.0,260.0,188.0
243,79.50852298766841,0.0,188.0,172.0,244.0,260.0,188.0
244,78.69006752597979,60.70863782901574,260.0,228.0,244.0,196.0,332.0
245,nan,nan,nan,172.0,252.0,236.0,180.0
246,88.1523897340054,nan,nan,164.0,252.0,252.0,196.0
247,32.6805547433634,nan,nan,204.0,268.0,252.0,196.0
248,68.62937773065681,nan,188.0,196.0,332.0,196.0,340.0
249,58.324531261890776,63.43494882292201,180.0,196.0,332.0,196.0,340.0
250,67.61986494804043,nan,180.0,196.0,332.0,196.0,340.0
251,69.71744091108339,nan,172.0,196.0,332.0,196.0,340.0
252,69.71744091108339,66.80140948635182,172.0,196.0,332.0,196.0,340.0
253,71.56505117707799,nan,164.0,196.0,332.0,196.0,340.0
254,71.56505117707799,nan,164.0,196.0,332.0,196.0,340.0
255,71.56505117707799,nan,164.0,204.0,332.0,196.0,340.0
256,nan,nan,nan,148.0,260.0,196.0,164.0
257,21.80140948635181,nan,nan,148.0,252.0,188.0,156.0
258,nan,nan,nan,148.0,260.0,188.0,156.0
259,nan,nan,nan,148.0,252.0,188.0,156.0
260,59.03624346792648,nan,nan,196.0,156.0,196.0,228.0
261,50.9061411137705,nan,nan,196.0,332.0,196.0,156.0
262,nan,nan,nan,148.0,252.0,180.0,156.0
263,50.9061411137705,45.0,nan,196.0,332.0,196.0,156.0
264,nan,nan,nan,148.0,252.0,180.0,156.0
265,66.80140948635182,nan,nan,148.0,252.0,180.0,156.0
266,nan,nan,nan,140.0,252.0,188.0,164.0
267,nan,45.0,172.0,132.0,244.0,212.0,172.0
268,65.11963314081831,nan,172.0,196.0,332.0,196.0,340.0
269,68.38522105721376,nan,180.0,196.0,332.0,196.0,340.0
270,62.59242456218159,53.13010235415598,nan,196.0,332.0,196.0,340.0
271,37.874983651098205,nan,nan,196.0,332.0,228.0,180.0
272,38.884496433714595,nan,nan,196.0,332.0,236.0,188.0
273,nan,nan,nan,156.0,252.0,228.0,188.0
274,nan,nan,nan,164.0,252.0,236.0,196.0
275,nan,nan,nan,164.0,252.0,236.0,188.0
276,71.56505117707799,nan,204.0,172.0,244.0,244.0,204.0
277,71.56505117707799,nan,204.0,172.0,244.0,252.0,204.0
278,71.56505117707799,26.565051177077994,nan,172.0,244.0,252.0,196.0
279,74.74488129694222,nan,196.0,164.0,236.0,252.0,196.0
280,70.3461759419467,45.0,188.0,172.0,236.0,260.0,188.0
281,49.398705354995535,nan,nan,196.0,332.0,260.0,172.0
282,nan,nan,nan,172.0,236.0,244.0,164.0
283,nan,nan,nan,172.0,236.0,244.0,156.0
284,56.309932474020215,nan,nan,196.0,332.0,252.0,156.0
285,36.1932073055647,nan,nan,196.0,332.0,252.0,140.0
286,38.08877288097531,nan,140.0,180.0,236.0,244.0,140.0
287,41.6335393365702,45.0,nan,196.0,348.0,252.0,124.0
288,40.81508387488159,0.0,116.0,172.0,228.0,252.0,116.0
289,46.93058744116699,0.0,116.0,164.0,228.0,252.0,116.0
290,nan,nan,nan,244.0,116.0,196.0,340.0
291,nan,nan,nan,236.0,108.0,196.0,340.0
292,46.78991060824607,nan,nan,204.0,268.0,236.0,92.0
293,nan,nan,nan,220.0,84.0,nan,nan
294,nan,nan,nan,236.0,84.0,nan,nan
295,nan,nan,nan,228.0,76.0,nan,nan
