Index, rightLegAngleSignal, leftLegAngleSignal, yPositionOfNoseSignal, xPositionOfRHipSignal, yPositionOfRHipSignal, xPositionOfLHipSignal, yPositionOfLHipSignal, pgram_rightLegAngleSignal, pgram_leftLegAngleSignal, pgram_yPositionOfNoseSignal, pgram_xPositionOfRHipSignal, pgram_yPositionOfRHipSignal, pgram_xPositionOfLHipSignal, pgram_yPositionOfLHipSignal, pgram_all, combined_signal, rightLegAngleSignal_interpolated, leftLegAngleSignal_interpolated, yPositionOfNoseSignal_interpolated, xPositionOfRHipSignal_interpolated, yPositionOfRHipSignal_interpolated, xPositionOfLHipSignal_interpolated, yPositionOfLHipSignal_interpolated
0,,,,,,,,,,,,,,,,,,,,,,,
1,45,nan,nan,148,204,172,76,10055.20605,23780.85938,43901.98047,144.9920807,75639.10156,235.3905792,41764.66016,223335.5625,799.65979,45,38.65980911,116,148,204,172,76
2,4.59425354,nan,nan,252,228,204,76,1899.232544,433.5968323,4636.695801,980.3170776,78161.04688,25.84811974,120454.6719,160421.1719,919.2540283,4.59425354,38.65980911,116,252,228,204,76
3,nan,nan,nan,196,84,204,76,9605.542969,2434.611572,101.2936478,890.3686523,18849.42773,24873.67773,5374.378418,188056.5,722.3927612,7.732938766,38.65980911,116,196,84,204,76
4,nan,nan,nan,196,84,204,76,2152.473389,816.9728394,1325.945923,105.6787796,2346.291748,7469.475098,22373.25,192283.25,725.5314331,10.87162399,38.65980911,116,196,84,204,76
5,nan,nan,nan,244,308,172,76,552.4979248,3318.630615,2831.427979,3316.910645,17.27509308,324.8296814,125922.6484,168714.125,968.670105,14.01030922,38.65980911,116,244,308,172,76
6,nan,nan,nan,244,308,172,84,415.8024902,3650.584473,1130.089844,14685.69043,3121.88208,6474.479004,53707.08594,176111.625,979.8088379,17.14899445,38.65980911,116,244,308,172,84
7,nan,nan,nan,244,308,172,84,16948.44922,4529.952148,105329.0469,14503.03027,42512.99219,10206.01367,147810.8438,103677.6406,982.9475098,20.28767967,38.65980911,116,244,308,172,84
8,nan,38.65980911,nan,236,308,172,84,1979.631958,118.6757584,14308.33887,8602.858398,1360.850342,8249.679688,21876.74219,91690.375,978.0861816,23.4263649,38.65980911,116,236,308,172,84
9,26.56505203,nan,nan,196,76,220,172,1389.400146,148.4614716,376.2426758,5843.187012,2255.938721,610.1717529,121682.5469,53594.61719,844.8810425,26.56505203,38.31599808,116,196,76,220,172
10,26.56505203,nan,nan,196,76,220,172,87.85267639,1981.049194,3181.187744,3754.795166,1458.414673,924.5526733,1306.511475,104444.7109,844.5372314,26.56505203,37.97218323,116,196,76,220,172
11,18.43494797,nan,nan,188,76,212,172,7180.583496,12.66638756,214.0538635,1594.437256,22786.95313,2280.426758,2564.900391,100046.8828,820.0633545,18.43494797,37.62837219,116,188,76,212,172
12,18.43494797,nan,nan,188,76,212,172,16.94113159,8871.832031,299.9372864,10045.52246,19.05006981,88.98297882,83.85747528,93456.47656,819.7194824,18.43494797,37.28456116,116,188,76,212,172
13,26.56505203,nan,nan,196,76,212,172,399.6673584,74.08615875,14077.67676,6900.598633,6648.660645,4396.646973,24405.9707,70530.42969,835.5057983,26.56505203,36.94075012,116,196,76,212,172
14,90,nan,nan,172,84,220,156,0.025577767,120.8492966,13386.97363,3974.852295,25350.53711,25356.01367,6477.639648,58568.80469,874.5969238,90,36.59693527,116,172,84,220,156
15,26.56505203,nan,nan,196,76,212,172,0.000199964,7.072936058,121.224823,90.03952026,33.05753326,2779.947021,2653.192871,64263.08594,834.8181763,26.56505203,36.25312424,116,196,76,212,172
16,26.56505203,nan,nan,196,76,212,172,384.2199097,3152.00415,23474.76367,1411.241577,10900.88184,3529.872314,22791.5,8829.707031,834.4743652,26.56505203,35.9093132,116,196,76,212,172
17,18.43494797,nan,nan,196,76,212,172,1431.806152,33.01928711,627.7542725,41.65661621,7949.010742,2315.121582,102.0687714,9794.727539,826.0004883,18.43494797,35.56550217,116,196,76,212,172
18,63.43494797,nan,nan,212,172,nan,nan,1128.265991,581.7043457,1807.89502,7257.80127,7954.461426,2367.416992,394.6691895,8923.983398,934.6566162,63.43494797,35.22168732,116,212,172,208,128
19,9.544525146,nan,nan,252,236,204,84,42.5463562,4841.663574,329.1102905,3702.199463,16577.81836,367.9555969,21808.15039,8991.397461,936.4223633,9.544525146,34.87787628,116,252,236,204,84
20,9.544525146,nan,nan,252,236,204,84,136.9235077,93.47890472,2133.471924,1032.138794,235.3024445,1476.087769,15244.51074,10293.17188,936.0786133,9.544525146,34.53406525,116,252,236,204,84
21,5.599339485,nan,nan,252,236,260,228,2.063304186,1070.736938,132.9195251,1180.728882,58.41323853,166.5221558,7111.477539,8699.994141,1131.789551,5.599339485,34.1902504,116,252,236,260,228
22,nan,nan,nan,196,84,220,172,1947.984741,636.7442627,127.2761993,342.0352783,9251.074219,0.00248659,11460,22374.58203,850.3162231,28.46976471,33.84643936,116,196,84,220,172
